# INIT TIME STEP TEST ..................................................  
# VDS       : 0.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# NPLC      : 1.0
# DELETE    : 0.0
# :: ----------------------------------- TIME --------------------------------------
# ::     Time 	 IDS 	 IGS 	 VDS 	 VGS 	 XPIN 	 | Shutter | 	 Delta Time	     
# :: -------------------------------------------------------------------------------
12.0000 -1.059065E-06 +4.836074E-09 0.0 0.0 +5.768379E-13 | 0 | 0.2000
12.1000 -1.058771E-06 +6.177454E-09 0.0 0.0 -4.052027E-13 | 0 | 0.1000
12.2000 -1.060196E-06 +5.297175E-09 0.0 0.0 -1.020812E-13 | 0 | 0.1000
12.3000 -1.060782E-06 +6.219377E-09 0.0 0.0 +4.414615E-13 | 0 | 0.1000
12.5000 -1.060322E-06 +5.632515E-09 0.0 0.0 -5.527204E-13 | 0 | 0.2000
12.6000 -1.060322E-06 +5.758271E-09 0.0 0.0 +4.111522E-13 | 0 | 0.1000
12.7000 -1.061244E-06 +4.710313E-09 0.0 0.0 -2.698085E-13 | 0 | 0.1000
12.8000 -1.058184E-06 +5.506760E-09 0.0 0.0 -2.495999E-13 | 0 | 0.1000
13.0000 -1.060867E-06 +6.261292E-09 0.0 0.0 +5.222844E-13 | 0 | 0.2000
13.1000 -1.060572E-06 +4.836066E-09 0.0 0.0 -4.557219E-13 | 0 | 0.1000
13.2000 -1.059609E-06 +5.213325E-09 0.0 0.0 +4.293364E-13 | 0 | 0.1000
13.3000 -1.059986E-06 +5.464847E-09 0.0 0.0 -2.576835E-13 | 0 | 0.1000
13.5000 -1.059861E-06 +4.710297E-09 0.0 0.0 -3.021409E-13 | 0 | 0.2000
13.6000 -1.060740E-06 +6.345136E-09 0.0 0.0 +5.081406E-13 | 0 | 0.1000
13.7000 -1.060154E-06 +4.919892E-09 0.0 0.0 -5.446374E-13 | 0 | 0.1000
13.8000 -1.060154E-06 +5.548678E-09 0.0 0.0 +4.798509E-13 | 0 | 0.1000
14.0000 -1.061411E-06 +6.135536E-09 0.0 0.0 -1.323934E-13 | 0 | 0.2000
14.1000 -1.060489E-06 +6.303218E-09 0.0 0.0 -3.263901E-13 | 0 | 0.1000
14.2000 -1.059399E-06 +5.003733E-09 0.0 0.0 +5.142021E-13 | 0 | 0.1000
14.4000 -1.058436E-06 +6.303222E-09 0.0 0.0 -6.032411E-13 | 0 | 0.2000
14.5000 -1.059944E-06 +4.836066E-09 0.0 0.0 +3.424526E-13 | 0 | 0.1000
14.6000 -1.060657E-06 +5.548677E-09 0.0 0.0 -2.326974E-14 | 0 | 0.1000
14.7000 -1.058897E-06 +5.381004E-09 0.0 0.0 -4.557217E-13 | 0 | 0.1000
14.9000 -1.060531E-06 +5.506763E-09 0.0 0.0 +5.606748E-13 | 0 | 0.2000
15.0000 -1.060489E-06 +5.506758E-09 0.0 0.0 -4.395562E-13 | 0 | 0.1000
15.1000 -1.059987E-06 +5.925950E-09 0.0 0.0 +4.353983E-13 | 0 | 0.1000
15.2000 -1.059819E-06 +6.177451E-09 0.0 0.0 -1.042092E-15 | 0 | 0.1000
15.4000 -1.059903E-06 +5.506769E-09 0.0 0.0 -4.819919E-13 | 0 | 0.2000
15.5000 -1.059986E-06 +5.884024E-09 0.0 0.0 +5.020785E-13 | 0 | 0.1000
15.6000 -1.060280E-06 +5.674448E-09 0.0 0.0 -4.132855E-13 | 0 | 0.1000
15.7000 -1.059483E-06 +5.087591E-09 0.0 0.0 +2.394044E-13 | 0 | 0.1000
15.9000 -1.059693E-06 +5.758275E-09 0.0 0.0 -3.062648E-15 | 0 | 0.2000
16.0000 -1.060279E-06 +4.919904E-09 0.0 0.0 -4.961375E-13 | 0 | 0.1000
16.1000 -1.060279E-06 +5.506765E-09 0.0 0.0 +5.829005E-13 | 0 | 0.1000
16.3000 -1.060238E-06 +6.093622E-09 0.0 0.0 -4.375355E-13 | 0 | 0.2000
16.4000 -1.058814E-06 +5.884030E-09 0.0 0.0 +3.363911E-13 | 0 | 0.1000
16.5000 -1.059652E-06 +5.590611E-09 0.0 0.0 +1.302943E-13 | 0 | 0.1000
16.6000 -1.060991E-06 +6.848155E-09 0.0 0.0 -5.102831E-13 | 0 | 0.1000
16.8000 -1.059734E-06 +5.087571E-09 0.0 0.0 +4.333789E-13 | 0 | 0.2000
16.9000 -1.059944E-06 +5.381006E-09 0.0 0.0 -4.031818E-13 | 0 | 0.1000
17.0000 -1.059610E-06 +6.219374E-09 0.0 0.0 +2.212194E-13 | 0 | 0.1000
17.1000 -1.061033E-06 +4.836077E-09 0.0 0.0 +1.929318E-13 | 0 | 0.1000
17.3000 -1.058814E-06 +5.297177E-09 0.0 0.0 -6.072820E-13 | 0 | 0.2000
17.4000 -1.060363E-06 +5.758275E-09 0.0 0.0 +4.798516E-13 | 0 | 0.1000
